AcresBurned,ArchiveYear,Counties,Extinguished,Injuries,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,SearchDescription,Started
534,2013,San Bernardino,2013-07-01T06:00:00Z,,34.071556,-117.048397,TRUE,Mills Fire,282,"The Mills Fire burned in June and July 2013 south og Highway 38 and Bryant Street, northwest of Yucaipa in San Bernardino County. ",2013-06-28T14:30:00Z
513,2013,Plumas,2013-08-25T13:15:00Z,,40.00842,-120.764666,FALSE,Plumas Lightning Complex (Hough),,The Plumas Lightning Complex burned in August 2013 in the Keddie Ridge/North Arm areas of Indian Valley near Taylorsville on the Plumas National Forest in Plumas County. ,2013-08-18T18:30:00Z
510,2013,Riverside,2013-05-05T18:45:00Z,,33.894055,-116.855019,FALSE,Gorgonio Fire,,"The Gorgonio Fire burned in May 2013 off Highway 243, south of Banning and north of Pine Cove, in Riverside County. ",2013-05-04T11:43:00Z
502,2013,Modoc,2013-07-05T18:30:00Z,,41.2415,-121.035,FALSE,Fox Fire (formally 3-7 Fire),,The Fox Fire (formerly known as 3-7 Fire) burned in July 2013 5 miles northwest of Aiden in Modoc County. ,2013-07-03T22:56:00Z
500,2013,San Luis Obispo,2013-06-03T18:30:00Z,,35.15832,-120.05131,FALSE,Branch Fire,,The Branch Fire burned in June 2013 west of the Carrizo Plain on the Los Padres National Forest in San Luis Obispo County. ,2013-06-01T17:27:00Z
492,2013,Contra Costa,2013-07-01T18:40:00Z,,37.96866,-121.91453,FALSE,Kirker Fire,,The Kirker Fire burned in July 2013 off Kirker Pass Road south of Pittsburg in Contra Costa County. ,2013-07-01T13:19:00Z
482,2013,Madera,2013-06-18T19:30:00Z,,37.015575,-119.78106,TRUE,Rolling Fire,,"The Rolling Fire burned June 2013 off Highway 41 and Road 145, northwest of Friant, in Madera County. ",2013-06-16T18:17:00Z
413,2013,San Bernardino,2013-08-20T13:32:00Z,,34.302,-117.598,FALSE,Gobblers Fire,,"The Gobblers Fire burned in August 2013, on the upper end of Lytle Creek on the San Bernardino National Forest in San Bernardino County. ",2013-08-20T13:32:00Z
406,2013,Inyo,2013-02-28T20:00:00Z,2,36.602575,-118.01651,TRUE,River Fire,476,"The River Fire burned in February 2013, south of Narrow Gauge Rd & north of Highway 136, east of Lone Pine in Inyo County. ",2013-02-24T08:16:00Z
376,2013,Napa,2013-10-04T16:55:00Z,,38.628,-122.289,TRUE,Putah Fire,4,The Putah Fire burned October 2013 off Berryessa Knoxville Rd near Lake Berryessa in Napa County.,2013-10-03T20:33:00Z
354,2013,San Benito,2013-05-03T18:45:00Z,,37.160346,-120.937494,FALSE,Tres Pinos Fire,,"The Tres Pinos Fire burned in May 2013, off Highway 25 and Horizon Road, near the community of Tres in San Benito County. ",2013-05-03T11:42:00Z
311,2013,Riverside,2013-03-02T19:00:00Z,,0,0,FALSE,Jurupa Fire,,"The Jurupa Fire burned in March 2013 off Rio Rancho Rd & Calle Hermosa, Jurupa Valley in Riverside County. ",2013-02-28T16:43:00Z
305,2013,Butte,2013-10-05T22:00:00Z,,39.439,-121.497,TRUE,Summit Fire,259,The Summit Fire burned October 2013 off District Center Drive and Fortune Way in Palermo in Butte County.,2013-10-04T17:37:00Z
303,2013,San Joaquin,2013-05-30T13:25:00Z,,38.04993,-120.90325,FALSE,Shelton Fire,,The Shelton Fire burned in May 2013 off North Shelton Road in the Linden Peters area in San Joaquin County.,2013-05-30T11:20:00Z
298,2013,Butte,2013-06-03T20:00:00Z,,39.434183,-121.576804,TRUE,Lone Fire,,The Lone Fire burned in June 2013 off Palermo Road and Lone Tree Road near Palermo in Butte County. ,2013-06-03T13:49:00Z
296,2013,Lake,2013-01-23T10:15:00Z,,0,0,FALSE,Becks Fire,,"The Beck Fire burned in January 2013, North of Highway 29, southeast of Kelseyville in Lake County. 
",2013-01-22T11:08:00Z
274,2013,Contra Costa,2013-07-01T18:30:00Z,,39.90465,-121.74367,FALSE,Concord Fire,,The Concord Fire burned in July 2013 off Concord Ave and Vineyard Parkway in Brentwood in Contra Costa County. ,2013-07-01T15:41:00Z
274,2013,Madera,2013-05-01T07:00:00Z,,37.116295,-119.635004,FALSE,Gold Fire,,"The Gold Fire burned in April 2013 and May 2013, between Road 210 and Road 200 near Fine Gold Creek in the community of O, in Madera County. ",2013-04-30T12:59:00Z
268,2013,Los Angeles,2013-09-28T08:00:00Z,,34.149,-117.908,FALSE,Madre Fire,,The Madre Fire burned September 2013 in the San Gabriel Canyon in Los Angeles County.,2013-09-23T18:00:00Z
263,2013,San Diego,2013-09-12T18:15:00Z,2,32.710918,-116.746023,TRUE,Lyon Fire,294,"The Lyon Fire burned September 2013 off of Lyons Valley Road in the Four Corners area near Lyons Peak, in San Diego County.",2013-09-09T13:09:00Z
243,2013,San Bernardino,2013-08-13T23:45:00Z,,34.35,-117.62,FALSE,Sharp Fire,,The Sharp Fire burned in August 2013 near Sheep Canyon just south of Wrightwood on the Angeles National Forest in San Bernardino County. ,2013-08-08T12:15:00Z
240,2013,Alameda,2013-06-08T13:25:00Z,,37.775057,-121.737213,FALSE,Vasco Fire,,"The Vasco Fire burned in June 2013 off Vasco Road and North Vasco Road, north of Livermore in Alameda County. ",2013-06-08T10:16:00Z
237,2013,Placer,2013-06-13T14:15:00Z,,38.729297,-121.380862,FALSE,PFE Fire,,The PFE Fire burned in June 2013 off PFE Road and Watt Avenue in West Roseville in Placer County. ,2013-06-13T11:28:00Z
226,2013,Glenn,2013-06-17T09:00:00Z,,0,0,FALSE,Daves Fire,,"The Daves Fires burned in June 2013, 15 miles northwest of Elk Creek off County Road 306, in Glenn County.",2013-06-12T15:17:00Z
217,2013,Glenn,2013-05-05T18:00:00Z,,39.514139,-122.560862,TRUE,306 Fire,221,"The 306 Fire burned in May 2013, 2 miles south of the community of Elk Creek in Glenn County.",2013-05-01T19:00:00Z
213,2013,Monterey,2013-07-17T19:30:00Z,,0,0,FALSE,Tassajara Fire,,The Tassajara Fire burned in July 2013 near the Tassajara Hot Springs and the Zen Center in Monterey County on the Los Padres National Forest. ,2013-07-17T13:23:00Z
200,2013,San Bernardino,2013-09-30T08:30:00Z,,34.2,-117.417,FALSE,Sierra Fire,,The Sierra Fire burned September 2013 in the Cajon Passon west of I-15 near Glen Helen Road in San Bernardino County.,2013-09-24T15:51:00Z
200,2013,Tehama,2013-07-04T10:30:00Z,,40.012398,-122.079871,FALSE,Vina Fire,,"The Vina Fire burned in July 2013 off Tehama-Vina Road and Sherman Road, Los Molinos in Tehama County. ",2013-07-04T07:30:00Z
196,2013,Shasta,2013-08-23T19:15:00Z,,40.5445,-121.3754,TRUE,Burney Lightning Series (Warner Fire),347,Burney Lightning Series(Warner Fire)burned in August 2013 near Fall River Mills and McAruther area in Shasta County. ,2013-08-19T17:48:00Z
195,2013,Tehama,2013-07-19T15:00:00Z,,39.961309,-122.330879,FALSE,Paskenta Fire,,The Paskenta Fire burned in July 2013 west of Corning in Tehama County. ,2013-07-19T13:32:00Z
190,2013,Napa,2013-11-23T18:30:00Z,,38.382,-122.311,TRUE,Silverado Fire,150,The Silverado Fire is burning in the Silverado Trail area near Napa (Napa County).,2013-11-21T21:39:00Z
170,2013,Santa Barbara,2013-05-29T10:30:00Z,,34.611824,-120.074655,FALSE,Olive Fire,,"The Olive Fire burned in May 2013 off Highway 246 and Meadowvale, East of Solvang in Santa Barbara County. ",2013-05-28T15:24:00Z
163,2013,Yolo,2013-11-04T15:35:00Z,,38.67479,-122.08725,FALSE,Capay Fire,,"The Capay Fire off County Road 23 & County Road 81, Southwest of Esparto was 163 acres.",2013-11-04T11:41:00Z
163,2013,El Dorado,2013-07-19T17:15:00Z,,38.63987,-121.08438,FALSE,50 Fire,,The 50 Fire burned in July 2013 South of Highway 50 at the El Dorado and Sacramento County Line. ,2013-07-19T14:12:00Z
163,2013,Sacramento,2013-07-19T17:15:00Z,,38.63987,-121.08438,FALSE,50 Fire,,The 50 Fire burned in July 2013 South of Highway 50 at the El Dorado and Sacramento County Line. ,2013-07-19T14:12:00Z
159,2013,Sonoma,2013-10-05T07:45:00Z,,38.34599,-122.6503,FALSE,Crane Fire,,"The Crane Fire burned October 2013 near Crane Creek Regional Park off Pressley Rd, east of Rohnert Park in Sonoma County.",2013-10-04T12:25:00Z
158,2013,Sonoma,2013-07-26T17:45:00Z,,38.17693,-122.51253,FALSE,Lakeville Fire,,"The Lakeville Fire burned in July 2013 off Lakeville Highway, 6 miles southeast of Petaluma in Sonoma County. ",2013-07-26T13:45:00Z
150,2013,Alameda,2013-10-04T10:30:00Z,,0,0,FALSE,Highland Fire,,THe Highland Fire burned October 2013 off Highland Road in Livermore in Alameda County.,2013-10-04T07:35:00Z
150,2013,Riverside,2013-07-17T07:45:00Z,,33.990128,-117.164997,FALSE,Redlands Fire,,"The Redlands Fire burned in July 2013 off Redlands Boulevard and San Timoteo Canyon Road, north of Moreno Valley in Riverside County. ",2013-07-16T17:48:00Z
150,2013,Stanislaus,2013-07-13T21:45:00Z,,37.436,-121.1955,FALSE,Diablo Fire,,"The Diablo Fire burned in July 2013 off Diablo Grande Parkway, west of I-5, southwest of Patterson in Stanislaus County. ",2013-07-12T15:35:00Z
150,2013,Fresno,2013-06-25T17:15:00Z,,36.7218,-119.2248,FALSE,George Fire,,The George Fire burned in June 2013 off Bronco Lane in Squaw Valley in Fresno County.,2013-06-25T13:36:00Z
150,2013,Butte,2013-05-22T09:30:00Z,,0,0,TRUE,Neal Fire,60,"The Neal Fire burned in May 2013 off Neal Road, southwest of Paradise in Butte County. ",2013-05-22T00:56:00Z
149,2013,Los Angeles,2013-05-29T15:30:00Z,,34.419284,-118.58688,FALSE,Magic Fire,,"The Magic Fire burned in May 2013, off Magic Mountain Parkway in Valencia in Los Angeles County. ",2013-05-28T11:30:00Z
134,2013,Tulare,2013-09-24T20:15:00Z,,36.258,-118.459,FALSE,Angora Fire,,The Angora Fire burned September 2013 in the Golden Trout WIlderness in Tulare County.,2013-09-08T11:53:00Z
125,2013,Sonoma,2013-05-03T06:15:00Z,,38.638828,-122.655616,TRUE,Yellow Fire,249,"The Yellow Fire burned in Month 2013, northwest of Calistoga in Sonoma County.",2013-05-01T02:01:00Z
124,2013,Solano,2013-06-18T22:30:00Z,,38.08744,-122.13802,FALSE,California Fire,,"The California Fire started in June 2013 off Lake Herman Road, west of Highway 680 in Benicia in Solano County. ",2013-06-18T15:18:00Z
124,2013,Merced,2013-06-05T08:30:00Z,,37.03776,-121.006939,FALSE,152 Fire,,"The 152 Fire burned in June 2013, off Highway 152 in San Luis Creek Reservoir in Merced County.",2013-06-04T15:42:00Z
124,2013,Riverside,2013-05-25T23:00:00Z,,33.963591,-117.187934,FALSE,Smiley Fire,,"The Smiley Fire burned in May 2013, off Smiley Blvd and Vista Suelto Road, North of Moreno Valley, in Riverside County. ",2013-05-25T14:59:00Z
120,2013,Lake,2013-11-10T18:30:00Z,,38.882214,-122.567525,TRUE,Cantwell Fire,285,"The Cantwell Fire South of Morgan Valley Rd and East of Hwy 29, Community of Lower Lake was 120 acres.",2013-11-08T13:42:00Z
116,2013,El Dorado,2013-08-16T17:55:00Z,,38.682378,-120.839075,TRUE,Union Fire,,"The Union Fire burned in August 2013 off Koki Ln and Pleasant Valley Rd, northwest of Diamond Springs in El Dorado County.",2013-08-16T13:55:00Z
110,2013,San Bernardino,2013-08-18T20:55:00Z,,34.287,-117.451,FALSE,Cleghorn Fire,,The Cleghorn Fire burned in August 2013 off I-15 Cajon Pass south of Cleghorn Road in San Bernardino County. ,2013-08-17T17:25:00Z
108,2013,Fresno,2013-06-13T21:30:00Z,,36.772425,-119.628389,FALSE,Clinton Fire,,"The Clinton Fire started in June 2013 off Clinton and Highland, East of Fresno in Fresno County. ",2013-06-13T11:54:00Z
105,2013,Monterey,2013-06-29T18:30:00Z,,36.1531,-120.8973,FALSE,Freeman Fire,,"The Freeman Fire burned in June 2013 off Highway 38, 10 miles east of King City in Monterey County. ",2013-06-29T14:09:00Z
100,2013,Los Angeles,2013-08-11T19:15:00Z,,0,0,FALSE,Bee Fire,,The Bee Fire burned in August 2013 on the Angeles National Forest near San Francisquito Canyon Road and Stator Lane in Los Angeles County. ,2013-08-09T17:15:00Z
100,2013,Tuolumne,2013-06-02T16:55:00Z,,37.91529,-120.33313,FALSE,Murphy Fire,,The Murphy Fire burned in June 2013 off Lime Kiln Road in Tuolumne County. ,2013-06-02T13:30:00Z
100,2013,San Diego,2013-05-23T08:30:00Z,,32.564465,-116.900368,FALSE,Border Fire,,The Border Fire burned in May 2013 off Alta Road in the Otay Mesa area in San Diego County.,2013-05-22T16:14:00Z
98,2013,Mendocino,2013-09-29T18:15:00Z,,38.9252,-122.966,FALSE,Highland Fire,,"The Highland Fire burned September 2013 off Highland Springs Rd, southeast of Kelseyville, in Mendocino County.",2013-09-28T13:57:00Z
97,2013,Modoc,2013-09-24T20:15:00Z,,41.73325,-120.375,FALSE,Davis Creek Complex,,The Davis Creek Complex burned September 2013 near Highway 395 south of Goose Lake in Modoc County.,2013-09-05T15:57:00Z
97,2013,San Bernardino,2013-08-30T08:00:00Z,,33.642,-116.706,FALSE,Little Fire,,The Little Fire burned August 2013 bear Thomas Mountain south of Lake Hemet on the San Jacinto Ranger District in San Bernardino County.,2013-08-24T15:09:00Z
97,2013,Lassen,2013-08-12T09:30:00Z,,40.88886,-120.958126,FALSE,Coyote Fire,,"The Coyote Fire burned in August 2013, Southeast of Coyote Reservoir, 20 miles southeast of Bieber in Lassen County. ",2013-08-09T15:51:00Z
96,2013,Amador,2013-06-13T09:45:00Z,,38.27783,-120.966016,FALSE,Roadrunner Fire,,The Roadrunner Fire burned in June 2013 off Roadrunner Drive south of Ione in Amador County. ,2013-06-12T16:43:00Z
94,2013,San Luis Obispo,2013-09-24T17:30:00Z,,35.4393,-120.8358,FALSE,Creek Fire,,"The Creek Fire burned September 2013 off Toro Creek Rd., east of Cayucos, in San Luis Obispo County.",2013-09-24T03:20:00Z
92,2013,Butte,2013-08-04T14:45:00Z,2,39.6612,-121.50354,TRUE,Branch Fire,80,The Branch Fire burned in August 2013 near Rocky Peak in the North Fork of Lake Oroville near Cherokee in Butte County. ,2013-08-01T16:01:00Z
91,2013,Madera,2013-05-20T19:10:00Z,,37.1927,-119.7917,TRUE,Lilly 2 Fire,,"The Lilly 2 Fire burned in May 2013, off Road 400 & Sandy Beach Dr. in Yosemite Lakes, in Madera County. ",2013-05-19T15:07:00Z
90,2013,Riverside,2013-05-21T19:30:00Z,,33.9582,-116.6534,FALSE,Water Fire,,The Water Fire burned in May 2013 off Whitewater Canyon Road in Whitewater in Riverside County.,2013-05-21T14:16:00Z
85,2013,San Luis Obispo,2013-07-07T22:00:00Z,,35.62743,-120.83417,FALSE,Adelaida Fire,,"The Adelaida Fire burned in July 2013 off Adelaida Road and Vineyard Dr, west of Paso Robles in San Luis Obispo County. ",2013-07-07T13:16:00Z
82,2013,Mendocino,2013-11-22T17:30:00Z,,39.0442,-123.1478,FALSE,Retek Fire,,"The Retek Fire was a 82 acre fire off Hwy 101 at Henry Station Road, north of Hopland.",2013-11-22T10:06:00Z
80,2013,Butte,2013-09-01T18:00:00Z,1,39.731878,-121.713938,TRUE,Centerville Fire,35,"The Centerville Fire burned August 2013 off of Centerville Road in the Butte Creek Canyon in the community of Centerville, west of Magalia, in Butte County.",2013-08-31T17:23:00Z
80,2013,Fresno,2013-04-09T15:30:00Z,,0,0,FALSE,Butte Fire,,"The Butte Fire burned in April 2013, off Butte Ave near Conejo Ave near the community of Helm in Fresno County.",2013-04-09T12:35:00Z
75,2013,Tehama,2013-09-15T19:00:00Z,,0,0,FALSE,Tehama Fire,,The Tehama Fire burned September 2013 east of Molinos in Tehama County.,2013-09-15T17:39:00Z
75,2013,San Bernardino,2013-07-26T18:15:00Z,,34.316,-117.352,FALSE,Silverwood Fire,,The Silverwood Fire burned in July 2013 off Highway 138 and Highway 173 in San Bernardino County.,2013-07-25T15:09:00Z
75,2013,Madera,2013-06-14T16:30:00Z,,37.169379,-119.75636,TRUE,Revis Fire,221,The Revis Fire burned in June 2013 off Revis Road and Yosemire Springs Parkway in Yosemite Lake Parks area in Coarsegold in Madera County. ,2013-06-12T16:40:00Z
75,2013,San Bernardino,2013-05-15T08:15:00Z,1,34.1834,-117.4408,TRUE,Lytle Fire,292,"The Lytle Fire burned in May 2013 in the San Bernardino National Forest off I-15 at Sierra Ave, near Lytle Creek n San Bernardino County. ",2013-05-13T13:30:00Z
75,2013,Napa,2013-05-01T17:15:00Z,,38.441792,-122.350844,FALSE,Silverado Fire,,"The Silverado Fire burned in April 2013 and May 2013, off Silverado Trail, north of Napa in Napa County. ",2013-04-30T23:44:00Z
73,2013,San Bernardino,2013-09-12T08:45:00Z,,34.003151,-117.106075,FALSE,Liveoak Fire,,"The Liveoak Fire burned September 2013 off of Live Oak Canyon Road, south of I-10, near the cities of Redland and Yucaipa, in San Bernardino County.",2013-09-11T16:57:00Z
73,2013,Yuba,2013-07-08T17:30:00Z,,39.206,-121.31634,FALSE,McGanney Fire,,"The McGanney Fire burned in July 2013 off Highway 20 and McGanney Lane, west of Smartsville in Yuba County. ",2013-07-08T09:59:00Z
72,2013,Butte,2013-05-04T19:00:00Z,,0,0,TRUE,Cedar Fire,44,"The Cedar Fire burned in May 2013, off Cedar Creek Loop Road, South of Butte Meadows in Butte County. ",2013-05-01T04:16:00Z
70,2013,Lake,2013-08-18T18:30:00Z,,39.013682,-122.491894,TRUE,Double Fire,,"The Double Fire burned in August 2013 off Hwy 20 and Mule Skinner Rd., Clear Lake Oaks in Lake County. ",2013-08-16T17:57:00Z
68,2013,Modoc,2013-09-05T21:00:00Z,,41.569,-120.959,FALSE,Rail Fire,,"The Rail Fire burned September 2013 near Rail Mountain, 7 miles northwest of Canby, in Modoc County.",2013-09-07T17:30:00Z
64,2013,Ventura,2013-11-15T16:00:00Z,,34.384,-119.13249,FALSE,Wheeler Fire,,"The Wheeler Fire was a 64 acre fire in Wheeler Canyon, north of Santa Paula.",2013-11-14T11:05:00Z
60,2013,Riverside,2013-08-08T09:00:00Z,,38.838,-116.61,FALSE,Tram Fire,,The Tram Fire burned in August 2013 off of Highway 111 and Tramway Road in Palm Springs on the San Bernardino National Forest in Riverside County. ,2013-08-06T13:39:00Z
60,2013,Riverside,2013-08-04T18:00:00Z,,33.91027,-116.99895,FALSE,Relay Fire,,"The Relay Fire burned in August 2013, near Mount David, south of Beaumont in Riverside County. ",2013-08-04T16:29:00Z
52,2013,Nevada,2013-08-31T21:30:00Z,,39.333401,-121.107022,FALSE,Tyler Fire,,"The Tyler Fire burned in August 2013 off of Highway 49 and Tyler Foote Road, north of the San Juan area, in Nevada County.",2013-08-31T14:42:00Z
51,2013,San Luis Obispo,2013-11-09T17:00:00Z,,35.457978,-120.751555,TRUE,Toro Fire,219,The Toro fire was a 51 acre fire off Toro Creek Rd. and Hwy 41 West in Morro Bay.,2013-11-08T10:30:00Z
50,2013,Lake,2013-11-24T08:45:00Z,,39.0448,-122.7656,FALSE,Bruner Fire,,The Bruner Fire was a 50 acre fire off Bruner Drive & Al Drive in Clearlake Oaks.,2013-11-23T12:04:00Z
50,2013,Siskiyou,2013-08-15T17:00:00Z,,41.923323,-122.578393,FALSE,Cottonwood Fire,,"The Cottonwood Fire burned in August 2013 off Cottonwood Creek Road, 2 miles north of Hornbrook in Siskiyou County. ",2013-08-15T14:40:00Z
50,2013,Santa Clara,2013-07-12T17:45:00Z,,37.1438,-121.7804,FALSE,Uvas Fire,,"The Uvas Fire burned in July 2013 off Uvas Road and Casa Loma Road, near Calero County Park,  west of Morgan Hill in Santa Clara County. ",2013-07-12T13:09:00Z
50,2013,Alameda,2013-07-04T11:30:00Z,,37.7393,-121.5869,FALSE,Grant Fire,,"The Grant Fire burned in July 2013 off Grant Line Road and I-580 in the Altamont Pass, 5 miles west of Tracey in Alameda County. ",2013-07-04T10:00:00Z
